category,sender,evaluator,uplift,delta
numbers,gemini-3-flash,gemini-3.1-flash-lite,0.0,0.0
numbers,gemini-3-flash,opus-4.6,0.0,0.0
numbers,gemini-3-flash,sonnet-4.6,0.0,0.0
numbers,gemini-3-flash,haiku-4.5,0.0,0.0
numbers,gemini-3-flash,gpt-5.4,0.0,0.0
numbers,gemini-3-flash,gpt-5.4-mini,0.0,0.0
numbers,gemini-3-flash,gpt-5.4-nano,0.0,0.0
numbers,gemini-3.1-flash-lite,gemini-3.1-pro,-0.010526315789473684,0.010526315789473684
numbers,gemini-3.1-flash-lite,gemini-3-flash,0.0,0.0
numbers,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.0,0.0
numbers,gemini-3.1-flash-lite,opus-4.6,0.0,0.0
numbers,gemini-3.1-flash-lite,sonnet-4.6,0.0,0.0
numbers,gemini-3.1-flash-lite,haiku-4.5,0.0,0.0
numbers,gemini-3.1-flash-lite,gpt-5.4,0.0,0.0
numbers,gemini-3.1-flash-lite,gpt-5.4-mini,0.0,0.0
numbers,gemini-3.1-flash-lite,gpt-5.4-nano,0.0,0.0
numbers,opus-4.6,gemini-3.1-pro,-0.012368421052631584,0.012368421052631584
numbers,opus-4.6,gemini-3-flash,0.005,-0.005
numbers,opus-4.6,gemini-3.1-flash-lite,0.0,0.0
numbers,opus-4.6,opus-4.6,0.0,0.0
numbers,opus-4.6,sonnet-4.6,0.0,0.0
numbers,opus-4.6,haiku-4.5,0.0,0.0
numbers,opus-4.6,gpt-5.4,0.0,0.0
numbers,opus-4.6,gpt-5.4-mini,0.0,0.0
numbers,opus-4.6,gpt-5.4-nano,0.0,0.0
numbers,sonnet-4.6,gemini-3.1-pro,0.03508771929824561,-0.03508771929824561
numbers,sonnet-4.6,gemini-3-flash,0.0,0.0
numbers,sonnet-4.6,gemini-3.1-flash-lite,0.0,0.0
numbers,sonnet-4.6,opus-4.6,0.0,0.0
numbers,sonnet-4.6,sonnet-4.6,0.0,0.0
numbers,sonnet-4.6,haiku-4.5,0.0,0.0
numbers,sonnet-4.6,gpt-5.4,0.0,0.0
numbers,sonnet-4.6,gpt-5.4-mini,0.0,0.0
numbers,sonnet-4.6,gpt-5.4-nano,0.0,0.0
numbers,haiku-4.5,gemini-3.1-pro,-0.012105263157894735,0.012105263157894735
numbers,haiku-4.5,gemini-3-flash,0.0,0.0
numbers,haiku-4.5,gemini-3.1-flash-lite,0.0,0.0
numbers,haiku-4.5,opus-4.6,0.0,0.0
numbers,haiku-4.5,sonnet-4.6,0.0,0.0
numbers,haiku-4.5,haiku-4.5,0.0,0.0
numbers,haiku-4.5,gpt-5.4,0.0,0.0
numbers,haiku-4.5,gpt-5.4-mini,0.0,0.0
numbers,haiku-4.5,gpt-5.4-nano,0.0,0.0
numbers,gpt-5.4,gemini-3.1-pro,0.004999999999999993,-0.004999999999999993
numbers,gpt-5.4,gemini-3-flash,0.0,0.0
numbers,gpt-5.4,gemini-3.1-flash-lite,0.0,0.0
numbers,gpt-5.4,opus-4.6,0.0,0.0
numbers,gpt-5.4,sonnet-4.6,0.0,0.0
numbers,gpt-5.4,haiku-4.5,0.0,0.0
numbers,gpt-5.4,gpt-5.4,0.0,0.0
numbers,gpt-5.4,gpt-5.4-mini,0.0,0.0
numbers,gpt-5.4,gpt-5.4-nano,0.0,0.0
numbers,gpt-5.4-mini,gemini-3.1-pro,0.0,0.0
numbers,gpt-5.4-mini,gemini-3-flash,0.0,0.0
numbers,gpt-5.4-mini,gemini-3.1-flash-lite,0.0,0.0
numbers,gpt-5.4-mini,opus-4.6,0.0,0.0
numbers,gpt-5.4-mini,sonnet-4.6,0.0,0.0
numbers,gpt-5.4-mini,haiku-4.5,0.0,0.0
numbers,gpt-5.4-mini,gpt-5.4,0.0,0.0
numbers,gpt-5.4-mini,gpt-5.4-mini,0.0,0.0
numbers,gpt-5.4-mini,gpt-5.4-nano,0.0,0.0
numbers,gpt-5.4-nano,gemini-3.1-pro,-0.034999999999999996,0.034999999999999996
numbers,gpt-5.4-nano,gemini-3-flash,0.0,0.0
numbers,gpt-5.4-nano,gemini-3.1-flash-lite,0.0,0.0
numbers,gpt-5.4-nano,opus-4.6,0.0,0.0
numbers,gpt-5.4-nano,sonnet-4.6,0.0,0.0
numbers,gpt-5.4-nano,haiku-4.5,0.0,0.0
numbers,gpt-5.4-nano,gpt-5.4,0.0,0.0
numbers,gpt-5.4-nano,gpt-5.4-mini,0.0,0.0
numbers,gpt-5.4-nano,gpt-5.4-nano,0.0,0.0
months,gemini-3.1-pro,gemini-3.1-pro,-0.012500000000000002,0.0
months,gemini-3.1-pro,gemini-3-flash,0.0,-0.012500000000000002
months,gemini-3.1-pro,gemini-3.1-flash-lite,0.10416666666666667,-0.11666666666666667
months,gemini-3.1-pro,opus-4.6,0.0,-0.012500000000000002
months,gemini-3.1-pro,sonnet-4.6,0.0,-0.012500000000000002
months,gemini-3.1-pro,haiku-4.5,0.00416666666666667,-0.016666666666666673
months,gemini-3.1-pro,gpt-5.4,0.0,-0.012500000000000002
months,gemini-3.1-pro,gpt-5.4-mini,-0.004166666666666667,-0.008333333333333335
months,gemini-3.1-pro,gpt-5.4-nano,0.012499999999999997,-0.025
months,gemini-3-flash,gemini-3.1-pro,0.012499999999999997,-0.012499999999999997
months,gemini-3-flash,gemini-3-flash,0.0,0.0
months,gemini-3-flash,gemini-3.1-flash-lite,-0.008333333333333331,0.008333333333333331
months,gemini-3-flash,opus-4.6,0.0,0.0
months,gemini-3-flash,sonnet-4.6,0.0,0.0
months,gemini-3-flash,haiku-4.5,-0.004166666666666667,0.004166666666666667
months,gemini-3-flash,gpt-5.4,0.0,0.0
months,gemini-3-flash,gpt-5.4-mini,-0.008333333333333331,0.008333333333333331
months,gemini-3-flash,gpt-5.4-nano,0.02083333333333334,-0.02083333333333334
months,gemini-3.1-flash-lite,gemini-3.1-pro,-0.010964912280701752,0.010964912280701752
months,gemini-3.1-flash-lite,gemini-3-flash,0.0,0.0
months,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.0,0.0
months,gemini-3.1-flash-lite,opus-4.6,0.0,0.0
months,gemini-3.1-flash-lite,sonnet-4.6,0.0,0.0
months,gemini-3.1-flash-lite,haiku-4.5,0.024999999999999994,-0.024999999999999994
months,gemini-3.1-flash-lite,gpt-5.4,0.0,0.0
months,gemini-3.1-flash-lite,gpt-5.4-mini,0.016666666666666663,-0.016666666666666663
months,gemini-3.1-flash-lite,gpt-5.4-nano,0.012500000000000006,-0.012500000000000006
months,opus-4.6,gemini-3.1-pro,0.019078947368421056,-0.019078947368421056
months,opus-4.6,gemini-3-flash,0.0,0.0
months,opus-4.6,gemini-3.1-flash-lite,0.0,0.0
months,opus-4.6,opus-4.6,0.0,0.0
months,opus-4.6,sonnet-4.6,0.0,0.0
months,opus-4.6,haiku-4.5,0.008333333333333333,-0.008333333333333333
months,opus-4.6,gpt-5.4,0.0,0.0
months,opus-4.6,gpt-5.4-mini,-0.02083333333333334,0.02083333333333334
months,opus-4.6,gpt-5.4-nano,0.00833333333333333,-0.00833333333333333
months,sonnet-4.6,gemini-3.1-pro,-0.008333333333333331,0.008333333333333331
months,sonnet-4.6,gemini-3-flash,0.0,0.0
months,sonnet-4.6,gemini-3.1-flash-lite,0.0,0.0
months,sonnet-4.6,opus-4.6,0.0,0.0
months,sonnet-4.6,sonnet-4.6,0.0,0.0
months,sonnet-4.6,haiku-4.5,-0.004166666666666668,0.004166666666666668
months,sonnet-4.6,gpt-5.4,0.0,0.0
months,sonnet-4.6,gpt-5.4-mini,0.012500000000000002,-0.012500000000000002
months,sonnet-4.6,gpt-5.4-nano,-0.012500000000000002,0.012500000000000002
months,haiku-4.5,gemini-3.1-pro,-0.0005482456140350848,-0.011951754385964913
months,haiku-4.5,gemini-3-flash,0.0,-0.012499999999999997
months,haiku-4.5,gemini-3.1-flash-lite,0.0,-0.012499999999999997
months,haiku-4.5,opus-4.6,0.0,-0.012499999999999997
months,haiku-4.5,sonnet-4.6,0.0,-0.012499999999999997
months,haiku-4.5,haiku-4.5,-0.012499999999999997,0.0
months,haiku-4.5,gpt-5.4,0.0,-0.012499999999999997
months,haiku-4.5,gpt-5.4-mini,-0.008333333333333333,-0.004166666666666664
months,haiku-4.5,gpt-5.4-nano,-0.004166666666666675,-0.008333333333333321
months,gpt-5.4,gemini-3.1-pro,0.019298245614035082,-0.019298245614035082
months,gpt-5.4,gemini-3-flash,0.0,0.0
months,gpt-5.4,gemini-3.1-flash-lite,0.0,0.0
months,gpt-5.4,opus-4.6,0.0,0.0
months,gpt-5.4,sonnet-4.6,0.0,0.0
months,gpt-5.4,haiku-4.5,-0.008333333333333331,0.008333333333333331
months,gpt-5.4,gpt-5.4,0.0,0.0
months,gpt-5.4,gpt-5.4-mini,0.0,0.0
months,gpt-5.4,gpt-5.4-nano,-0.012499999999999997,0.012499999999999997
months,gpt-5.4-mini,gemini-3.1-pro,-0.0059210526315789476,0.0059210526315789476
months,gpt-5.4-mini,gemini-3-flash,0.0,0.0
months,gpt-5.4-mini,gemini-3.1-flash-lite,0.0,0.0
months,gpt-5.4-mini,opus-4.6,0.0,0.0
months,gpt-5.4-mini,sonnet-4.6,0.0,0.0
months,gpt-5.4-mini,haiku-4.5,0.004166666666666667,-0.004166666666666667
months,gpt-5.4-mini,gpt-5.4,0.0,0.0
months,gpt-5.4-mini,gpt-5.4-mini,0.0,0.0
months,gpt-5.4-mini,gpt-5.4-nano,-5.782411586589357e-18,5.782411586589357e-18
months,gpt-5.4-nano,gemini-3.1-pro,0.0,-0.004166666666666669
months,gpt-5.4-nano,gemini-3-flash,0.0,-0.004166666666666669
months,gpt-5.4-nano,gemini-3.1-flash-lite,0.0,-0.004166666666666669
months,gpt-5.4-nano,opus-4.6,0.0,-0.004166666666666669
months,gpt-5.4-nano,sonnet-4.6,0.0,-0.004166666666666669
months,gpt-5.4-nano,haiku-4.5,-0.008333333333333333,0.004166666666666664
months,gpt-5.4-nano,gpt-5.4,0.0,-0.004166666666666669
months,gpt-5.4-nano,gpt-5.4-mini,-5.782411586589357e-18,-0.004166666666666663
months,gpt-5.4-nano,gpt-5.4-nano,-0.004166666666666669,0.0
colors,gemini-3.1-pro,gemini-3.1-pro,0.17251461988304093,0.0
colors,gemini-3.1-pro,gemini-3-flash,-0.01,0.18251461988304093
colors,gemini-3.1-pro,gemini-3.1-flash-lite,-0.039999999999999994,0.21251461988304093
colors,gemini-3.1-pro,opus-4.6,0.0,0.17251461988304093
colors,gemini-3.1-pro,sonnet-4.6,0.0,0.17251461988304093
colors,gemini-3.1-pro,haiku-4.5,-0.019999999999999997,0.19251461988304092
colors,gemini-3.1-pro,gpt-5.4,0.0,0.17251461988304093
colors,gemini-3.1-pro,gpt-5.4-mini,0.0,0.17251461988304093
colors,gemini-3.1-pro,gpt-5.4-nano,-0.05,0.22251461988304094
colors,gemini-3-flash,gemini-3.1-pro,-0.01578947368421053,0.12578947368421053
colors,gemini-3-flash,gemini-3-flash,0.11000000000000001,0.0
colors,gemini-3-flash,gemini-3.1-flash-lite,0.0,0.11000000000000001
colors,gemini-3-flash,opus-4.6,0.0,0.11000000000000001
colors,gemini-3-flash,sonnet-4.6,0.0,0.11000000000000001
colors,gemini-3-flash,haiku-4.5,0.0,0.11000000000000001
colors,gemini-3-flash,gpt-5.4,0.0,0.11000000000000001
colors,gemini-3-flash,gpt-5.4-mini,0.0,0.11000000000000001
colors,gemini-3-flash,gpt-5.4-nano,-0.010000000000000009,0.12000000000000002
colors,gemini-3.1-flash-lite,gemini-3.1-pro,-0.039999999999999994,0.039999999999999994
colors,gemini-3.1-flash-lite,gemini-3-flash,-0.2,0.2
colors,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.0,0.0
colors,gemini-3.1-flash-lite,opus-4.6,0.0,0.0
colors,gemini-3.1-flash-lite,sonnet-4.6,0.0,0.0
colors,gemini-3.1-flash-lite,haiku-4.5,0.0,0.0
colors,gemini-3.1-flash-lite,gpt-5.4,0.0,0.0
colors,gemini-3.1-flash-lite,gpt-5.4-mini,0.0,0.0
colors,gemini-3.1-flash-lite,gpt-5.4-nano,0.0,0.0
colors,opus-4.6,gemini-3.1-pro,0.0,0.0
colors,opus-4.6,gemini-3-flash,0.05,-0.05
colors,opus-4.6,gemini-3.1-flash-lite,0.0,0.0
colors,opus-4.6,opus-4.6,0.0,0.0
colors,opus-4.6,sonnet-4.6,0.0,0.0
colors,opus-4.6,haiku-4.5,0.0,0.0
colors,opus-4.6,gpt-5.4,0.0,0.0
colors,opus-4.6,gpt-5.4-mini,0.0,0.0
colors,opus-4.6,gpt-5.4-nano,0.0,0.0
colors,sonnet-4.6,gemini-3.1-pro,0.0022222222222222365,-0.0022222222222222365
colors,sonnet-4.6,gemini-3-flash,-0.05,0.05
colors,sonnet-4.6,gemini-3.1-flash-lite,0.0,0.0
colors,sonnet-4.6,opus-4.6,0.0,0.0
colors,sonnet-4.6,sonnet-4.6,0.0,0.0
colors,sonnet-4.6,haiku-4.5,0.0,0.0
colors,sonnet-4.6,gpt-5.4,0.0,0.0
colors,sonnet-4.6,gpt-5.4-mini,0.0,0.0
colors,sonnet-4.6,gpt-5.4-nano,-0.010000000000000009,0.010000000000000009
colors,haiku-4.5,gemini-3.1-pro,-0.00888888888888888,0.00888888888888888
colors,haiku-4.5,gemini-3-flash,-0.019999999999999997,0.019999999999999997
colors,haiku-4.5,gemini-3.1-flash-lite,0.0,0.0
colors,haiku-4.5,opus-4.6,0.0,0.0
colors,haiku-4.5,sonnet-4.6,0.0,0.0
colors,haiku-4.5,haiku-4.5,0.0,0.0
colors,haiku-4.5,gpt-5.4,0.0,0.0
colors,haiku-4.5,gpt-5.4-mini,0.0,0.0
colors,haiku-4.5,gpt-5.4-nano,-0.019999999999999997,0.019999999999999997
colors,gpt-5.4,gemini-3.1-pro,0.010000000000000009,-0.010000000000000009
colors,gpt-5.4,gemini-3-flash,0.06999999999999999,-0.06999999999999999
colors,gpt-5.4,gemini-3.1-flash-lite,0.0,0.0
colors,gpt-5.4,opus-4.6,-0.019999999999999997,0.019999999999999997
colors,gpt-5.4,sonnet-4.6,0.0,0.0
colors,gpt-5.4,haiku-4.5,0.0,0.0
colors,gpt-5.4,gpt-5.4,0.0,0.0
colors,gpt-5.4,gpt-5.4-mini,0.0,0.0
colors,gpt-5.4,gpt-5.4-nano,0.0,0.0
colors,gpt-5.4-mini,gemini-3.1-pro,0.04,-0.04
colors,gpt-5.4-mini,gemini-3-flash,0.05,-0.05
colors,gpt-5.4-mini,gemini-3.1-flash-lite,0.0,0.0
colors,gpt-5.4-mini,opus-4.6,0.0,0.0
colors,gpt-5.4-mini,sonnet-4.6,0.0,0.0
colors,gpt-5.4-mini,haiku-4.5,0.0,0.0
colors,gpt-5.4-mini,gpt-5.4,0.0,0.0
colors,gpt-5.4-mini,gpt-5.4-mini,0.0,0.0
colors,gpt-5.4-mini,gpt-5.4-nano,0.0,0.0
colors,gpt-5.4-nano,gemini-3.1-pro,-0.021671826625387004,0.021671826625387004
colors,gpt-5.4-nano,gemini-3-flash,-0.059999999999999984,0.059999999999999984
colors,gpt-5.4-nano,gemini-3.1-flash-lite,0.0,0.0
colors,gpt-5.4-nano,opus-4.6,0.0,0.0
colors,gpt-5.4-nano,sonnet-4.6,0.0,0.0
colors,gpt-5.4-nano,haiku-4.5,0.0,0.0
colors,gpt-5.4-nano,gpt-5.4,0.0,0.0
colors,gpt-5.4-nano,gpt-5.4-mini,0.0,0.0
colors,gpt-5.4-nano,gpt-5.4-nano,0.0,0.0
cities,gemini-3.1-pro,gemini-3.1-pro,-0.04263157894736842,0.0
cities,gemini-3.1-pro,gemini-3-flash,-0.12,0.07736842105263157
cities,gemini-3.1-pro,gemini-3.1-flash-lite,-0.12,0.07736842105263157
cities,gemini-3.1-pro,opus-4.6,0.0,-0.04263157894736842
cities,gemini-3.1-pro,sonnet-4.6,0.05,-0.09263157894736843
cities,gemini-3.1-pro,haiku-4.5,0.03,-0.07263157894736842
cities,gemini-3.1-pro,gpt-5.4,0.0,-0.04263157894736842
cities,gemini-3.1-pro,gpt-5.4-mini,0.0,-0.04263157894736842
cities,gemini-3.1-pro,gpt-5.4-nano,0.0,-0.04263157894736842
cities,gemini-3-flash,gemini-3.1-pro,0.061754385964912284,0.05824561403508771
cities,gemini-3-flash,gemini-3-flash,0.12,0.0
cities,gemini-3-flash,gemini-3.1-flash-lite,0.04999999999999999,0.07
cities,gemini-3-flash,opus-4.6,-0.12999999999999998,0.24999999999999997
cities,gemini-3-flash,sonnet-4.6,-0.05,0.16999999999999998
cities,gemini-3-flash,haiku-4.5,0.01,0.11
cities,gemini-3-flash,gpt-5.4,0.0,0.12
cities,gemini-3-flash,gpt-5.4-mini,-0.01,0.13
cities,gemini-3-flash,gpt-5.4-nano,0.0,0.12
cities,gemini-3.1-flash-lite,gemini-3.1-pro,-0.014210526315789474,0.10421052631578949
cities,gemini-3.1-flash-lite,gemini-3-flash,0.13,-0.039999999999999994
cities,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.09000000000000001,0.0
cities,gemini-3.1-flash-lite,opus-4.6,0.0,0.09000000000000001
cities,gemini-3.1-flash-lite,sonnet-4.6,-0.010000000000000009,0.10000000000000002
cities,gemini-3.1-flash-lite,haiku-4.5,0.01,0.08000000000000002
cities,gemini-3.1-flash-lite,gpt-5.4,0.0,0.09000000000000001
cities,gemini-3.1-flash-lite,gpt-5.4-mini,-0.01,0.1
cities,gemini-3.1-flash-lite,gpt-5.4-nano,0.01,0.08000000000000002
cities,opus-4.6,gemini-3.1-pro,-0.009999999999999998,-0.16999999999999998
cities,opus-4.6,gemini-3-flash,-0.12,-0.06
cities,opus-4.6,gemini-3.1-flash-lite,0.0,-0.18
cities,opus-4.6,opus-4.6,-0.18,0.0
cities,opus-4.6,sonnet-4.6,0.01,-0.19
cities,opus-4.6,haiku-4.5,0.01,-0.19
cities,opus-4.6,gpt-5.4,0.0,-0.18
cities,opus-4.6,gpt-5.4-mini,0.0,-0.18
cities,opus-4.6,gpt-5.4-nano,0.0,-0.18
cities,sonnet-4.6,gemini-3.1-pro,0.024615384615384615,-0.024615384615384615
cities,sonnet-4.6,gemini-3-flash,-0.05,0.05
cities,sonnet-4.6,gemini-3.1-flash-lite,-0.030000000000000006,0.030000000000000006
cities,sonnet-4.6,opus-4.6,0.030000000000000006,-0.030000000000000006
cities,sonnet-4.6,sonnet-4.6,0.0,0.0
cities,sonnet-4.6,haiku-4.5,0.01,-0.01
cities,sonnet-4.6,gpt-5.4,0.0,0.0
cities,sonnet-4.6,gpt-5.4-mini,0.0,0.0
cities,sonnet-4.6,gpt-5.4-nano,0.030000000000000006,-0.030000000000000006
cities,haiku-4.5,gemini-3.1-pro,-0.042105263157894736,0.042105263157894736
cities,haiku-4.5,gemini-3-flash,-0.06000000000000001,0.06000000000000001
cities,haiku-4.5,gemini-3.1-flash-lite,-0.05,0.05
cities,haiku-4.5,opus-4.6,-0.010000000000000009,0.010000000000000009
cities,haiku-4.5,sonnet-4.6,0.0,0.0
cities,haiku-4.5,haiku-4.5,0.0,0.0
cities,haiku-4.5,gpt-5.4,0.0,0.0
cities,haiku-4.5,gpt-5.4-mini,-0.03,0.03
cities,haiku-4.5,gpt-5.4-nano,0.0,0.0
cities,gpt-5.4,gemini-3.1-pro,-0.0066666666666666706,0.0066666666666666706
cities,gpt-5.4,gemini-3-flash,-0.02999999999999998,0.02999999999999998
cities,gpt-5.4,gemini-3.1-flash-lite,0.0,0.0
cities,gpt-5.4,opus-4.6,0.01,-0.01
cities,gpt-5.4,sonnet-4.6,0.0,0.0
cities,gpt-5.4,haiku-4.5,0.0,0.0
cities,gpt-5.4,gpt-5.4,0.0,0.0
cities,gpt-5.4,gpt-5.4-mini,0.0,0.0
cities,gpt-5.4,gpt-5.4-nano,0.0,0.0
cities,gpt-5.4-mini,gemini-3.1-pro,-0.08,0.08
cities,gpt-5.4-mini,gemini-3-flash,-0.05,0.05
cities,gpt-5.4-mini,gemini-3.1-flash-lite,0.0,0.0
cities,gpt-5.4-mini,opus-4.6,-0.16999999999999998,0.16999999999999998
cities,gpt-5.4-mini,sonnet-4.6,0.0,0.0
cities,gpt-5.4-mini,haiku-4.5,0.0,0.0
cities,gpt-5.4-mini,gpt-5.4,0.0,0.0
cities,gpt-5.4-mini,gpt-5.4-mini,0.0,0.0
cities,gpt-5.4-mini,gpt-5.4-nano,0.03,-0.03
cities,gpt-5.4-nano,gemini-3.1-pro,0.012222222222222223,0.017777777777777774
cities,gpt-5.4-nano,gemini-3-flash,0.0,0.03
cities,gpt-5.4-nano,gemini-3.1-flash-lite,0.06999999999999999,-0.039999999999999994
cities,gpt-5.4-nano,opus-4.6,-0.16,0.19
cities,gpt-5.4-nano,sonnet-4.6,0.0,0.03
cities,gpt-5.4-nano,haiku-4.5,0.0,0.03
cities,gpt-5.4-nano,gpt-5.4,0.0,0.03
cities,gpt-5.4-nano,gpt-5.4-mini,0.02,0.009999999999999998
cities,gpt-5.4-nano,gpt-5.4-nano,0.03,0.0
nouns,gemini-3.1-pro,gemini-3.1-pro,0.0,0.0
nouns,gemini-3.1-pro,gemini-3-flash,0.030000000000000006,-0.030000000000000006
