sender,evaluator,uplift,delta
haiku-4.5,gpt-5.4-nano,0.005555555555555556,-0.009999999999999998
gpt-5.4,gemini-3.1-pro,0.0011111111111111074,0.022222222222222223
gpt-5.4,gemini-3-flash,-0.02222222222222222,0.04555555555555555
gpt-5.4,gemini-3.1-flash-lite,-0.0011111111111111152,0.024444444444444446
gpt-5.4,opus-4.6,0.007777777777777778,0.015555555555555552
gpt-5.4,sonnet-4.6,0.0022222222222222244,0.02111111111111111
gpt-5.4,haiku-4.5,0.007777777777777777,0.015555555555555555
gpt-5.4,gpt-5.4,0.02333333333333333,0.0
gpt-5.4,gpt-5.4-mini,0.0044444444444444375,0.018888888888888893
gpt-5.4,gpt-5.4-nano,-0.007777777777777778,0.03111111111111111
gpt-5.4-mini,gemini-3.1-pro,-0.00555555555555556,0.006666666666666671
gpt-5.4-mini,gemini-3-flash,-0.008888888888888898,0.010000000000000009
gpt-5.4-mini,gemini-3.1-flash-lite,0.003333333333333329,-0.002222222222222218
gpt-5.4-mini,opus-4.6,0.010000000000000002,-0.00888888888888889
gpt-5.4-mini,sonnet-4.6,-0.006666666666666672,0.007777777777777784
gpt-5.4-mini,haiku-4.5,-0.012222222222222221,0.013333333333333332
gpt-5.4-mini,gpt-5.4,0.009999999999999998,-0.008888888888888887
gpt-5.4-mini,gpt-5.4-mini,0.0011111111111111113,0.0
gpt-5.4-mini,gpt-5.4-nano,-0.03777777777777778,0.03888888888888889
gpt-5.4-nano,gemini-3.1-pro,0.011111111111111108,-0.014444444444444442
gpt-5.4-nano,gemini-3-flash,0.012222222222222228,-0.015555555555555562
gpt-5.4-nano,gemini-3.1-flash-lite,-0.015555555555555557,0.012222222222222223
gpt-5.4-nano,opus-4.6,-0.034444444444444444,0.03111111111111111
gpt-5.4-nano,sonnet-4.6,-0.03888888888888889,0.035555555555555556
gpt-5.4-nano,haiku-4.5,-0.007777777777777777,0.004444444444444444
gpt-5.4-nano,gpt-5.4,-0.0033333333333333335,0.0
gpt-5.4-nano,gpt-5.4-mini,-0.045555555555555544,0.04222222222222221
gpt-5.4-nano,gpt-5.4-nano,-0.0033333333333333335,0.0
